class	goal_id	truth	engine	tier	verdict	ms	model
opt	o5	T	nunchaku_ship	1	none	27	na
opt	o6	F	nunchaku_ship	1	genuine	27	yes
opt	o7	T	nunchaku_ship	1	none	26	na
set	s1	F	nunchaku_ship	1	genuine	57	no
set	s2	F	nunchaku_ship	1	unknown	2008	na
set	s3	T	nunchaku_ship	1	none	138	na
set	s4	T	nunchaku_ship	1	unknown	2008	na
set	s5	F	nunchaku_ship	1	genuine	42	no
set	s6	T	nunchaku_ship	1	none	31	na
quant	q1	F	nunchaku_ship	1	unknown	2007	na
quant	q2	T	nunchaku_ship	1	unknown	2007	na
quant	q3	F	nunchaku_ship	1	unknown	2011	na
quant	q4	T	nunchaku_ship	1	none	34	na
quant	q5	F	nunchaku_ship	1	genuine	25	yes
quant	q6	T	nunchaku_ship	1	unknown	2013	na
exwrap	e1	F	nunchaku_ship	1	unknown	2007	na
exwrap	e2	T	nunchaku_ship	1	none	37	na
exwrap	e3	F	nunchaku_ship	1	unknown	31	na
exwrap	e4	T	nunchaku_ship	1	none	29	na
exwrap	e5	F	nunchaku_ship	1	unknown	2009	na
exwrap	e6	T	nunchaku_ship	1	unknown	35	na
exwrap	e7	F	nunchaku_ship	1	unknown	39	na
ho	h1	F	nunchaku_ship	1	unknown	2008	na
ho	h2	F	nunchaku_ship	1	genuine	69	no
ho	h3	T	nunchaku_ship	1	unknown	2014	na
ho	h4	T	nunchaku_ship	1	none	32	na
ho	h5	F	nunchaku_ship	1	unknown	2015	na
ho	h6	T	nunchaku_ship	1	none	33	na
ho	h7	F	nunchaku_ship	1	unknown	2007	na
ho	h8	T	nunchaku_ship	1	unknown	317	na
arith_lin	l1	F	nunchaku_ship	5	genuine	35	yes
arith_lin	l2	F	nunchaku_ship	5	genuine	28	yes
arith_lin	l3	F	nunchaku_ship	5	unknown	1528	na
arith_lin	l4	F	nunchaku_ship	5	genuine	29	yes
arith_lin	l5	T	nunchaku_ship	5	unknown	6010	na
arith_lin	l6	T	nunchaku_ship	5	unknown	6017	na
arith_lin	l7	T	nunchaku_ship	5	unknown	6011	na
arith_nl	n1	T	nunchaku_ship	5	unknown	106	na
arith_nl	n2	F	nunchaku_ship	5	unknown	47	na
arith_nl	n3	F	nunchaku_ship	5	genuine	171	yes
arith_nl	n4	F	nunchaku_ship	5	unknown	45	na
arith_nl	n5	T	nunchaku_ship	5	unknown	6012	na
arith_nl	n6	T	nunchaku_ship	5	unknown	6027	na
arith_nl	n7	F	nunchaku_ship	5	genuine	42	yes
arith_nl	n8	T	nunchaku_ship	5	unknown	6013	na
list	ls1	F	nunchaku_ship	5	genuine	37	yes
list	ls2	F	nunchaku_ship	5	genuine	894	yes
list	ls3	F	nunchaku_ship	5	genuine	28	yes
list	ls4	F	nunchaku_ship	5	genuine	134	no
list	ls5	T	nunchaku_ship	5	unknown	6014	na
list	ls6	T	nunchaku_ship	5	unknown	6015	na
list	ls7	T	nunchaku_ship	5	unknown	6016	na
list	ls8	F	nunchaku_ship	5	genuine	26	yes
opt	o1	F	nunchaku_ship	5	genuine	30	yes
opt	o2	F	nunchaku_ship	5	genuine	28	yes
opt	o3	F	nunchaku_ship	5	genuine	29	yes
opt	o4	T	nunchaku_ship	5	none	33	na
opt	o5	T	nunchaku_ship	5	none	25	na
opt	o6	F	nunchaku_ship	5	genuine	26	yes
opt	o7	T	nunchaku_ship	5	none	26	na
set	s1	F	nunchaku_ship	5	genuine	60	no
set	s2	F	nunchaku_ship	5	unknown	6012	na
set	s3	T	nunchaku_ship	5	none	174	na
set	s4	T	nunchaku_ship	5	none	596	na
set	s5	F	nunchaku_ship	5	genuine	38	no
set	s6	T	nunchaku_ship	5	none	27	na
quant	q1	F	nunchaku_ship	5	unknown	6011	na
quant	q2	T	nunchaku_ship	5	unknown	6012	na
quant	q3	F	nunchaku_ship	5	unknown	6013	na
quant	q4	T	nunchaku_ship	5	none	31	na
quant	q5	F	nunchaku_ship	5	genuine	30	yes
quant	q6	T	nunchaku_ship	5	unknown	6019	na
exwrap	e1	F	nunchaku_ship	5	unknown	6012	na
exwrap	e2	T	nunchaku_ship	5	none	39	na
exwrap	e3	F	nunchaku_ship	5	unknown	31	na
exwrap	e4	T	nunchaku_ship	5	none	28	na
exwrap	e5	F	nunchaku_ship	5	unknown	6012	na
exwrap	e6	T	nunchaku_ship	5	unknown	37	na
exwrap	e7	F	nunchaku_ship	5	unknown	38	na
ho	h1	F	nunchaku_ship	5	unknown	6010	na
ho	h2	F	nunchaku_ship	5	genuine	64	no
ho	h3	T	nunchaku_ship	5	unknown	6015	na
ho	h4	T	nunchaku_ship	5	none	27	na
ho	h5	F	nunchaku_ship	5	unknown	5687	na
ho	h6	T	nunchaku_ship	5	none	32	na
ho	h7	F	nunchaku_ship	5	unknown	4159	na
ho	h8	T	nunchaku_ship	5	unknown	372	na
arith_lin	l1	F	nunchaku_smbc	1	genuine	35	yes
arith_lin	l2	F	nunchaku_smbc	1	genuine	29	yes
arith_lin	l3	F	nunchaku_smbc	1	unknown	2206	na
arith_lin	l4	F	nunchaku_smbc	1	genuine	30	yes
arith_lin	l5	T	nunchaku_smbc	1	unknown	2009	na
arith_lin	l6	T	nunchaku_smbc	1	unknown	2016	na
arith_lin	l7	T	nunchaku_smbc	1	unknown	2008	na
arith_nl	n1	T	nunchaku_smbc	1	unknown	2020	na
arith_nl	n2	F	nunchaku_smbc	1	unknown	50	na
arith_nl	n3	F	nunchaku_smbc	1	genuine	29	yes
arith_nl	n4	F	nunchaku_smbc	1	unknown	48	na
arith_nl	n5	T	nunchaku_smbc	1	unknown	2010	na
arith_nl	n6	T	nunchaku_smbc	1	unknown	2019	na
arith_nl	n7	F	nunchaku_smbc	1	genuine	38	yes
arith_nl	n8	T	nunchaku_smbc	1	unknown	2008	na
list	ls1	F	nunchaku_smbc	1	genuine	37	yes
list	ls2	F	nunchaku_smbc	1	genuine	36	yes
list	ls3	F	nunchaku_smbc	1	genuine	38	yes
list	ls4	F	nunchaku_smbc	1	genuine	238	no
list	ls5	T	nunchaku_smbc	1	unknown	2018	na
list	ls6	T	nunchaku_smbc	1	unknown	2011	na
list	ls7	T	nunchaku_smbc	1	unknown	2018	na
list	ls8	F	nunchaku_smbc	1	genuine	44	yes
opt	o1	F	nunchaku_smbc	1	genuine	41	yes
opt	o2	F	nunchaku_smbc	1	genuine	40	yes
opt	o3	F	nunchaku_smbc	1	genuine	36	yes
opt	o4	T	nunchaku_smbc	1	none	39	na
opt	o5	T	nunchaku_smbc	1	none	41	na
opt	o6	F	nunchaku_smbc	1	genuine	42	yes
opt	o7	T	nunchaku_smbc	1	none	39	na
set	s1	F	nunchaku_smbc	1	genuine	140	no
set	s2	F	nunchaku_smbc	1	unknown	2021	na
set	s3	T	nunchaku_smbc	1	none	157	na
set	s4	T	nunchaku_smbc	1	unknown	2009	na
set	s5	F	nunchaku_smbc	1	genuine	41	no
set	s6	T	nunchaku_smbc	1	none	29	na
quant	q1	F	nunchaku_smbc	1	unknown	2009	na
quant	q2	T	nunchaku_smbc	1	unknown	2010	na
quant	q3	F	nunchaku_smbc	1	unknown	2013	na
quant	q4	T	nunchaku_smbc	1	none	34	na
quant	q5	F	nunchaku_smbc	1	genuine	36	yes
quant	q6	T	nunchaku_smbc	1	unknown	2017	na
exwrap	e1	F	nunchaku_smbc	1	unknown	2010	na
exwrap	e2	T	nunchaku_smbc	1	none	42	na
exwrap	e3	F	nunchaku_smbc	1	unknown	532	na
exwrap	e4	T	nunchaku_smbc	1	none	25	na
exwrap	e5	F	nunchaku_smbc	1	unknown	2011	na
exwrap	e6	T	nunchaku_smbc	1	unknown	987	na
exwrap	e7	F	nunchaku_smbc	1	unknown	1097	na
ho	h1	F	nunchaku_smbc	1	unknown	2009	na
ho	h2	F	nunchaku_smbc	1	genuine	84	no
ho	h3	T	nunchaku_smbc	1	unknown	1779	na
ho	h4	T	nunchaku_smbc	1	none	31	na
ho	h5	F	nunchaku_smbc	1	unknown	2023	na
ho	h6	T	nunchaku_smbc	1	none	33	na
ho	h7	F	nunchaku_smbc	1	unknown	2010	na
ho	h8	T	nunchaku_smbc	1	unknown	536	na
arith_lin	l1	F	nunchaku_smbc	5	genuine	33	yes
arith_lin	l2	F	nunchaku_smbc	5	genuine	45	yes
arith_lin	l3	F	nunchaku_smbc	5	unknown	5664	na
arith_lin	l4	F	nunchaku_smbc	5	genuine	49	yes
arith_lin	l5	T	nunchaku_smbc	5	unknown	6012	na
arith_lin	l6	T	nunchaku_smbc	5	unknown	6019	na
arith_lin	l7	T	nunchaku_smbc	5	unknown	6013	na
arith_nl	n1	T	nunchaku_smbc	5	unknown	6023	na
arith_nl	n2	F	nunchaku_smbc	5	unknown	4144	na
arith_nl	n3	F	nunchaku_smbc	5	genuine	234	yes
arith_nl	n4	F	nunchaku_smbc	5	genuine	132	no
arith_nl	n5	T	nunchaku_smbc	5	unknown	6013	na
arith_nl	n6	T	nunchaku_smbc	5	unknown	6024	na
arith_nl	n7	F	nunchaku_smbc	5	genuine	36	yes
arith_nl	n8	T	nunchaku_smbc	5	unknown	6011	na
list	ls1	F	nunchaku_smbc	5	genuine	39	yes
list	ls2	F	nunchaku_smbc	5	genuine	36	yes
list	ls3	F	nunchaku_smbc	5	genuine	44	yes
list	ls4	F	nunchaku_smbc	5	genuine	42	yes
list	ls5	T	nunchaku_smbc	5	unknown	6015	na
list	ls6	T	nunchaku_smbc	5	unknown	6013	na
list	ls7	T	nunchaku_smbc	5	unknown	6016	na
list	ls8	F	nunchaku_smbc	5	genuine	39	yes
opt	o1	F	nunchaku_smbc	5	genuine	33	yes
opt	o2	F	nunchaku_smbc	5	genuine	36	yes
opt	o3	F	nunchaku_smbc	5	genuine	41	yes
opt	o4	T	nunchaku_smbc	5	none	31	na
opt	o5	T	nunchaku_smbc	5	none	38	na
opt	o6	F	nunchaku_smbc	5	genuine	35	yes
opt	o7	T	nunchaku_smbc	5	none	33	na
set	s1	F	nunchaku_smbc	5	genuine	88	no
set	s2	F	nunchaku_smbc	5	unknown	6019	na
set	s3	T	nunchaku_smbc	5	none	153	na
set	s4	T	nunchaku_smbc	5	none	4742	na
set	s5	F	nunchaku_smbc	5	genuine	40	no
set	s6	T	nunchaku_smbc	5	none	29	na
quant	q1	F	nunchaku_smbc	5	unknown	6011	na
quant	q2	T	nunchaku_smbc	5	unknown	6013	na
quant	q3	F	nunchaku_smbc	5	unknown	6014	na
quant	q4	T	nunchaku_smbc	5	none	37	na
quant	q5	F	nunchaku_smbc	5	genuine	29	yes
quant	q6	T	nunchaku_smbc	5	unknown	6019	na
exwrap	e1	F	nunchaku_smbc	5	unknown	6011	na
exwrap	e2	T	nunchaku_smbc	5	none	73	na
exwrap	e3	F	nunchaku_smbc	5	unknown	5398	na
exwrap	e4	T	nunchaku_smbc	5	none	44	na
exwrap	e5	F	nunchaku_smbc	5	unknown	6010	na
exwrap	e6	T	nunchaku_smbc	5	unknown	5230	na
exwrap	e7	F	nunchaku_smbc	5	unknown	4800	na
ho	h1	F	nunchaku_smbc	5	unknown	6014	na
ho	h2	F	nunchaku_smbc	5	genuine	70	no
ho	h3	T	nunchaku_smbc	5	unknown	5690	na
ho	h4	T	nunchaku_smbc	5	none	31	na
ho	h5	F	nunchaku_smbc	5	unknown	5876	na
ho	h6	T	nunchaku_smbc	5	none	35	na
ho	h7	F	nunchaku_smbc	5	unknown	4943	na
ho	h8	T	nunchaku_smbc	5	unknown	4784	na
