class	goal_id	truth	engine	tier	verdict	ms	model
arith_bigwit	b4	F	nunchaku_ship	1	unknown	2010	na
arith_bigwit	b5	T	nunchaku_ship	1	unknown	2016	na
datatype	d1	F	nunchaku_ship	5	genuine	27	yes
datatype	d2	F	nunchaku_ship	5	genuine	30	yes
datatype	d3	F	nunchaku_ship	5	genuine	91	no
datatype	d4	F	nunchaku_ship	5	genuine	948	yes
datatype	d5	F	nunchaku_ship	5	genuine	35	yes
datatype	d6	F	nunchaku_ship	5	genuine	29	yes
datatype	d7	F	nunchaku_ship	5	genuine	28	yes
datatype	d8	F	nunchaku_ship	5	genuine	29	yes
datatype	d9	T	nunchaku_ship	5	unknown	6012	na
datatype	d10	T	nunchaku_ship	5	unknown	6015	na
datatype	d11	T	nunchaku_ship	5	unknown	6016	na
datatype	d12	T	nunchaku_ship	5	unknown	6021	na
datatype	d13	T	nunchaku_ship	5	none	32	na
datatype	d14	T	nunchaku_ship	5	none	28	na
datatype	d15	T	nunchaku_ship	5	unknown	6014	na
datatype	d16	T	nunchaku_ship	5	unknown	6016	na
arith_bigwit	b1	F	nunchaku_ship	5	unknown	6016	na
arith_bigwit	b2	F	nunchaku_ship	5	unknown	6456	na
arith_bigwit	b3	F	nunchaku_ship	5	unknown	39	na
arith_bigwit	b4	F	nunchaku_ship	5	unknown	6013	na
arith_bigwit	b5	T	nunchaku_ship	5	unknown	6016	na
datatype	d1	F	nunchaku_smbc	1	genuine	29	yes
datatype	d2	F	nunchaku_smbc	1	genuine	940	yes
datatype	d3	F	nunchaku_smbc	1	genuine	105	no
datatype	d4	F	nunchaku_smbc	1	genuine	42	yes
datatype	d5	F	nunchaku_smbc	1	genuine	62	yes
datatype	d6	F	nunchaku_smbc	1	genuine	47	yes
datatype	d7	F	nunchaku_smbc	1	genuine	36	yes
datatype	d8	F	nunchaku_smbc	1	genuine	44	yes
datatype	d9	T	nunchaku_smbc	1	unknown	2012	na
datatype	d10	T	nunchaku_smbc	1	unknown	2016	na
datatype	d11	T	nunchaku_smbc	1	unknown	2013	na
datatype	d12	T	nunchaku_smbc	1	unknown	2018	na
datatype	d13	T	nunchaku_smbc	1	none	29	na
datatype	d14	T	nunchaku_smbc	1	none	32	na
datatype	d15	T	nunchaku_smbc	1	unknown	2009	na
datatype	d16	T	nunchaku_smbc	1	unknown	2013	na
arith_bigwit	b1	F	nunchaku_smbc	1	unknown	2012	na
arith_bigwit	b2	F	nunchaku_smbc	1	unknown	2425	na
arith_bigwit	b3	F	nunchaku_smbc	1	unknown	48	na
arith_bigwit	b4	F	nunchaku_smbc	1	unknown	2010	na
arith_bigwit	b5	T	nunchaku_smbc	1	unknown	2010	na
datatype	d1	F	nunchaku_smbc	5	genuine	41	yes
datatype	d2	F	nunchaku_smbc	5	genuine	4125	yes
datatype	d3	F	nunchaku_smbc	5	genuine	101	no
datatype	d4	F	nunchaku_smbc	5	genuine	976	yes
datatype	d5	F	nunchaku_smbc	5	genuine	56	yes
datatype	d6	F	nunchaku_smbc	5	genuine	41	yes
datatype	d7	F	nunchaku_smbc	5	genuine	42	yes
datatype	d8	F	nunchaku_smbc	5	genuine	56	yes
datatype	d9	T	nunchaku_smbc	5	unknown	6016	na
datatype	d10	T	nunchaku_smbc	5	unknown	6020	na
datatype	d11	T	nunchaku_smbc	5	unknown	6016	na
datatype	d12	T	nunchaku_smbc	5	unknown	6022	na
datatype	d13	T	nunchaku_smbc	5	none	38	na
datatype	d14	T	nunchaku_smbc	5	none	28	na
datatype	d15	T	nunchaku_smbc	5	unknown	6013	na
datatype	d16	T	nunchaku_smbc	5	unknown	6017	na
arith_bigwit	b1	F	nunchaku_smbc	5	unknown	6015	na
arith_bigwit	b2	F	nunchaku_smbc	5	unknown	6559	na
arith_bigwit	b3	F	nunchaku_smbc	5	unknown	770	na
arith_bigwit	b4	F	nunchaku_smbc	5	unknown	6017	na
arith_bigwit	b5	T	nunchaku_smbc	5	unknown	6020	na
